date,cumul_total,cumul_shincheonji,cumul_low,d_tot,d_shin,d_low,daily_total,daily_shincheonji,daily_low
2020-02-18,1,1,0,1,1,0,1,1,0
2020-02-19,11,9,2,10,8,2,10,8,2
2020-02-20,34,26,8,23,17,6,23,17,6
2020-02-21,79,63,16,45,37,8,45,37,8
2020-02-22,149,129,20,70,66,4,70,66,4
2020-02-23,297,237,60,148,108,40,148,108,40
2020-02-24,442,376,66,145,139,6,145,139,6
2020-02-25,499,407,92,57,31,26,57,31,26
2020-02-26,677,501,176,178,94,84,178,94,84
2020-02-27,1017,668.2575839853978,348.7424160146022,340,167.2575839853978,172.7424160146022,340,167.2575839853978,172.7424160146022
2020-02-28,1314,936.4379107278916,377.56208927210844,297,268.1803267424938,28.819673257506224,297,268.1803267424938,28.819673257506224
2020-02-29,2055,1356,699,741,419.56208927210844,321.43791072789156,741,419.56208927210844,321.43791072789156
2020-03-01,2576,1870,706,514,521,-7,521,514,7
2020-03-02,3088,2168.717291255739,919.2827087442611,512,298.7172912557389,213.28270874426107,512,298.7172912557389,213.28270874426107
2020-03-03,3608,2332.367257226974,1275.6327427730262,520,163.6499659712349,356.3500340287651,520,163.6499659712349,356.3500340287651
2020-03-04,4013,2576,1437,405,243.63274277302617,161.36725722697383,405,243.63274277302617,161.36725722697383
2020-03-05,4443,2897,1546,321,430,-109,430,321,109
2020-03-06,4827,3264,1563,367,384,-17,384,367,17
2020-03-07,5217,3583,1634,390,319,71,390,319,71
2020-03-08,5514,3749,1765,297,166,131,297,166,131
2020-03-09,5704,3874,1830,190,125,65,190,125,65
2020-03-10,5796,3926.572021216088,1869.4279787839118,92,52.57202121608816,39.42797878391184,92,52.57202121608816,39.42797878391184
2020-03-11,5927,3943.088696106084,1983.9113038939158,131,16.51667488999601,114.48332511000399,131,16.51667488999601,114.48332511000399
2020-03-12,6000,3993,2007,73,49.91130389391583,23.08869610608417,73,49.91130389391583,23.08869610608417
2020-03-13,6122.155108712892,4054,2068.155108712892,61,122.15510871289189,-61.15510871289189,122.15510871289189,61,61.15510871289189
2020-03-14,6233,4116,2117,62,110.84489128710811,-48.84489128710811,110.84489128710811,62,48.84489128710811
2020-03-15,6274,4134.987371694358,2139.0126283056416,41,18.987371694358444,22.012628305641556,41,18.987371694358444,22.012628305641556
2020-03-16,6327.987371694358,4134.987371694358,2193,35,-18.987371694358444,53.987371694358444,53.987371694358444,0,53.987371694358444
2020-03-17,6359.987371694358,4138.987371694358,2221,32,4,28,32,4,28
2020-03-18,6405.987371694358,4138.987371694358,2267,46,0,46,46,0,46
2020-03-19,6502.987371694358,4143.987371694358,2359,97,5,92,97,5,92
2020-03-20,6536.987371694358,4144.987371694358,2392,34,1,33,34,1,33
2020-03-21,6605.987371694358,4144.987371694358,2461,69,0,69,69,0,69
2020-03-22,6648.987371694358,4156.987371694358,2492,43,12,31,43,12,31
2020-03-23,6672.987371694358,4158.987371694358,2514,24,2,22,24,2,22
2020-03-24,6703.987371694358,4158.987371694358,2545,31,0,31,31,0,31
2020-03-25,6717.987371694358,4162.987371694358,2555,14,4,10,14,4,10
2020-03-26,6743.987371694358,4166.987371694358,2577,26,4,22,26,4,22
2020-03-27,6777.987371694358,4166.987371694358,2611,34,0,34,34,0,34
2020-03-28,6848.987371694358,4175.987371694358,2673,71,9,62,71,9,62
2020-03-29,6882.257562200486,4198.987371694358,2683.2701905061276,23,33.27019050612762,-10.27019050612762,33.27019050612762,23,10.27019050612762
2020-03-30,6915.987371694358,4212.987371694358,2703,14,33.72980949387238,-19.72980949387238,33.72980949387238,14,19.72980949387238
2020-03-31,6975.987371694358,4213.987371694358,2762,60,1,59,60,1,59
